,word,frequency
546,"them.
",25
547,"II
",3
548,THE,40
549,"MAIL
",1
550,"
",58
551,Dover,11
552,road,19
553,"lay,",2
554,Friday,4
555,night,75
556,late,15
557,"November,",2
558,first,78
559,persons,5
560,history,7
561,"has
",13
562,business.,14
563,The,489
564,"him,",204
565,beyond,23
566,"mail,",6
567,"as
",62
568,lumbered,2
569,Shooter's,3
570,Hill.,1
571,He,350
572,walked,40
573,hill,10
574,mire,1
575,side,39
576,rest,18
577,passengers,12
578,did;,1
579,least,14
580,relish,2
581,walking,17
582,"exercise,",2
583,under,122
584,"circumstances,",4
585,but,367
586,because,28
587,"harness,",1
588,"mud,",6
589,"heavy,",5
590,horses,21
591,times,25
592,"already
",4
593,"stop,",1
594,besides,9
595,once,52
596,drawing,17
597,coach,20
598,across,32
599,"road,",11
600,"with
",82
601,mutinous,1
602,intent,14
603,back,84
604,Blackheath.,1
605,Reins,1
606,"whip
",1
607,coachman,4
608,"guard,",10
609,"however,",16
610,"combination,",1
611,read,21
612,"article
",1
613,war,1
614,forbade,2
615,purpose,6
616,otherwise,12
617,strongly,9
618,favour,14
619,"argument,",1
620,brute,2
621,animals,1
622,are,271
623,endued,1
624,Reason;,1
625,"team
",1
626,capitulated,1
627,returned,70
628,"duty.
",1
629,With,33
630,drooping,4
631,heads,26
632,tremulous,2
633,"tails,",1
634,mashed,1
635,"way
",5
636,thick,4
637,floundering,1
638,stumbling,1
639,between,59
640,"whiles,",2
641,"if
",24
642,falling,6
643,pieces,9
644,larger,3
645,joints.,1
646,As,94
647,often,29
648,driver,3
649,rested,10
650,brought,76
651,"stand,",2
652,wary,2
653,"""Wo-ho!
",1
654,"so-ho-then!""",1
655,near,37
656,leader,4
657,violently,4
658,shook,27
659,head,110
660,"everything
",3
661,it-,15
662,unusually,2
663,emphatic,4
664,"horse,",5
665,denying,1
666,"coach
",3
667,could,241
668,hill.,4
669,Whenever,1
670,"rattle,",2
671,passenger,15
672,"started,",4
673,nervous,2
674,"might,",6
675,"disturbed
",1
676,"mind.
",6
677,steaming,1
678,mist,12
679,"hollows,",1
680,roamed,1
681,forlornness,1
682,evil,4
683,"spirit,",6
684,seeking,3
685,finding,3
686,none.,8
687,A,99
688,clammy,1
689,intensely,3
690,cold,20
691,"mist,",3
692,slow,7
693,air,33
694,ripples,1
695,visibly,2
696,followed,25
697,overspread,1
698,"another,",16
699,waves,4
700,unwholesome,3
701,sea,15
702,might,125
703,do.,5
704,"dense
",1
705,shut,16
706,light,64
707,coach-lamps,1
708,"but
",22
709,own,114
710,"workings,",1
711,few,70
712,yards,3
713,road;,1
714,reek,1
715,labouring,2
716,steamed,2
717,if,307
718,"all.
",4
719,Two,11
720,"passengers,",4
721,"one,",20
722,plodding,2
723,"hill
",1
724,mail.,2
725,wrapped,6
726,"cheekbones
",1
727,over,145
728,"cars,",1
729,wore,18
730,jack-boots.,1
731,Not,26
732,"could
",19
733,"said,",57
734,anything,41
735,"saw,",5
736,what,219
737,either,22
738,like;,2
739,each,23
740,hidden,10
741,almost,35
742,many,114
743,wrappers,1
744,eyes,110
745,"mind,",30
746,"body,",4
747,"companions.
",2
748,"days,",14
749,travellers,2
750,shy,1
751,being,122
752,confidential,3
753,short,20
754,"notice,",4
755,anybody,7
756,robber,1
757,"league
",1
758,robbers.,1
759,"latter,",3
760,posting-house,3
761,"ale-house
",1
762,produce,4
763,somebody,11
764,"Captain's""",1
765,"pay,",2
766,ranging,1
767,landlord,1
768,lowest,3
769,stable,2
770,"nondescript,",1
771,"likeliest
",1
772,thing,30
773,cards.,1
774,So,27
775,guard,18
776,"himself,",35
777,"seventy-five,",2
778,lumbering,6
779,"Hill,",1
780,stood,77
781,"own
",19
782,particular,10
783,perch,1
784,behind,44
785,beating,8
786,"feet,",9
787,keeping,8
788,"eye
",7
789,arm-chest,1
790,where,123
791,blunderbuss,2
792,"lay
",5
793,top,14
794,six,11
795,eight,13
796,"horse-pistols,",1
797,deposited,1
798,substratum,1
799,"cutlass.
",1
800,usual,38
801,genial,1
802,position,5
803,suspected,7
804,another,86
805,everybody,8
806,"else,",4
807,sure,25
808,nothing,92
809,horses;,2
810,cattle,1
811,"clear
",2
812,conscience,2
813,oath,2
814,Testaments,1
815,"were
",55
816,fit,8
817,"journey.
",1
818,"""Wo-ho!""",1
819,said,557
820,coachman.,1
821,"""So,",2
822,then!,6
823,One,25
824,more,187
825,pull,6
826,you're,7
827,"at
",66
828,damned,1
829,"you,",121
830,I,1374
831,trouble,11
832,get,52
833,"you
",46
834,it!-,1
835,"Joe!""
",1
836,"""Halloa!""",2
837,"replied.
",1
838,"""What",65
839,o'clock,9
840,you,812
841,"Joe?""
",1
842,"""Ten",3
843,"minutes,",8
844,"good,",11
845,"eleven.""
",1
846,"""My",37
847,"blood!""",1
848,ejaculated,1
849,vexed,2
850,"coachman,",3
851,"""and",38
852,atop,1
853,yet!,1
854,Tst!,4
855,Yah!,2
856,Get,3
857,"you!""
",10
858,whip,1
859,most,58
860,"decided
",1
861,"negative,",1
862,decided,4
863,scramble,1
864,"horses
",2
865,suit.,1
866,Once,5
867,"more,",16
868,struggled,5
869,"on,",37
870,jack-boots,1
871,squashing,1
872,along,28
873,side.,7
874,They,87
875,"had
",92
876,"stopped,",6
877,kept,34
878,company,10
879,"it.
",39
880,If,63
881,hardihood,1
882,propose,3
883,walk,9
884,little,226
885,ahead,1
886,"darkness,",10
887,would,307
888,"put
",7
889,way,91
890,getting,16
891,instantly,3
892,"highwayman.
",1
893,burst,7
894,summit,3
895,"The
",41
896,breathe,3
897,"again,",76
898,skid,1
899,wheel,1
900,"descent,",3
901,open,31
902,coach-door,3
903,let,58
904,"passengers
",1
905,"in.
",7
906,"""Tst!",1
907,"Joe!""",1
908,cried,41
909,warning,2
910,"voice,",32
911,looking,105
912,"from
",39
913,"box.
",1
914,"say,",33
915,"Tom?""
",2
916,"listened.
",1
917,"""I",399
918,say,90
919,horse,15
920,canter,1
921,coming,38
922,"up,",40
923,"Joe.""
",4
924,"gallop,",2
925,"Tom,""",1
926,leaving,12
927,hold,36
928,"door,",33
929,mounting,1
930,nimbly,2
931,place.,9
932,"""Gentlemen!",1
933,king's,3
934,"name,",14
935,hurried,15
936,"adjuration,",1
937,cocked,2
938,"blunderbuss,",2
939,"stood
",5
940,"offensive.
",2
941,booked,2
942,"history,",2
943,"coach-step,",1
944,"getting
",2
945,in;,4
946,follow.,3
947,remained,19
948,"step,",5
949,half,50
950,"of;
",1
951,below,3
952,him.,79
953,looked,172
954,"coachman
",1
955,listened.,1
956,"back,",28
957,even,105
958,pricked,2
959,ears,8
960,"contradicting.
",1
961,stillness,5
962,consequent,2
963,cessation,2
964,rumbling,1
965,"coach,",11
966,added,18
967,"night,",58
968,"it
",70
969,quiet,24
970,indeed.,3
971,panting,1
972,communicated,5
973,motion,3
974,state,34
975,agitation.,2
976,hearts,6
977,beat,9
978,loud,12
979,perhaps,24
980,heard;,1
981,"rate,",1
982,pause,8
983,audibly,1
984,expressive,5
985,"breath,",7
986,holding,9
987,having,57
988,"pulses
",1
989,quickened,2
990,"expectation.
",1
991,sound,31
992,gallop,3
993,fast,16
994,furiously,1
995,"hill.
",4
996,"""So-ho!""",1
997,sang,2
998,"out,",54
999,roar.,2
1000,"""Yo",1
1001,"there!
",1
1002,Stand!,1
1003,shall,82
1004,"fire!""
",1
1005,pace,1
1006,suddenly,18
1007,"checked,",1
1008,splashing,2
1009,"floundering,",1
1010,man's,14
1011,voice,31
1012,called,45
1013,"""Is",29
1014,"Dover
",1
1015,"mail?""
",4
1016,"""Never",5
1017,mind,53
1018,"is!""",2
1019,retorted.,1
1020,"you?""
",16
1021,"""Why",10
1022,want,24
1023,"know?""
",2
1024,"passenger,",7
1025,"is.""
",13
1026,"passenger?""
",1
1027,"""Mr.",14
1028,Jarvis,19
1029,"Lorry.""
",6
1030,showed,23
1031,moment,27
1032,name.,13
1033,eyed,2
1034,"him
",45
1035,"distrustfully.
",1
1036,"""Keep",4
1037,"are,""",2
1038,"mist,
",1
1039,"""because,",1
1040,should,127
1041,"mistake,",3
1042,never,160
1043,set,41
1044,right,29
1045,your,283
1046,lifetime.,1
1047,Gentleman,1
1048,name,51
1049,Lorry,150
1050,answer,26
1051,"straight.""
",2
1052,"matter?""",2
1053,asked,63
1054,"then,",49
1055,"mildly
",1
1056,quavering,1
1057,speech.,2
1058,"""Who",10
1059,wants,2
1060,me?,5
1061,Is,20
1062,"Jerry?""
",1
1063,"(""I",2
1064,don't,86
1065,Jerry's,2
1066,"Jerry,""",6
1067,growled,4
1068,himself.,9
1069,"""He's",1
1070,hoarser,1
1071,suits,1
1072,"me,",84
1073,"Jerry."")
",1
1074,"""Yes,",33
1075,Mr.,557
1076,"matter?""
",2
1077,"""A",24
1078,despatch,2
1079,sent,14
1080,yonder.,1
1081,T.,1
1082,"Co.""
",1
1083,know,167
1084,"messenger,",6
1085,"guard,""",1
1086,"Lorry,",109
1087,"into
",25
1088,road-,1
1089,assisted,10
1090,swiftly,2
1091,politely,1
1092,"other
",20
1093,immediately,11
1094,scrambled,1
1095,pulled,8
1096,window.,5
1097,"""He",29
1098,may,108
1099,close;,1
1100,there's,4
1101,"wrong.""
",4
1102,hope,54
1103,"ain't,",2
1104,can't,17
1105,'Nation,1
1106,"that,""",5
1107,"said
",14
1108,gruff,3
1109,soliloquy.,1
1110,"""Hallo",1
1111,"""Well!",10
1112,And,88
1113,hallo,1
1114,"you!""",5
1115,"Jerry,",27
1116,hoarsely,3
1117,"before.
",2
1118,"""Come",4
1119,footpace!,1
1120,d'ye,2
1121,you've,4
1122,"holsters
",1
1123,saddle,3
1124,o',6
1125,"yourn,",1
1126,me,259
1127,see,137
1128,nigh,1
1129,'em.,2
1130,"For
",3
1131,I'm,8
1132,devil,6
1133,quick,11
1134,takes,4
1135,form,10
1136,Lead.,1
1137,let's,1
1138,look,98
1139,"you.""
",31
1140,figures,10
1141,rider,5
1142,slowly,30
1143,"eddying
",1
1144,stood.,3
1145,"stooped,",3
1146,casting,5
1147,handed,11
1148,folded,10
1149,paper.,6
1150,rider's,1
1151,"blown,",1
1152,covered,12
1153,hoofs,1
1154,hat,8
1155,"man.
",7
1156,"""Guard!""",1
1157,tone,20
1158,business,60
1159,"confidence.
",1
1160,watchful,5
1161,stock,7
1162,"raised
",2
1163,left,87
1164,"barrel,",1
1165,eye,19
1166,"horseman,
",1
1167,answered,31
1168,"curtly,",1
1169,"""Sir.""
",1
1170,"""There",17
1171,apprehend.,1
1172,belong,6
1173,Tellson's,48
1174,Bank.,5
1175,You,88
1176,"must
",6
1177,Bank,10
1178,London.,4
1179,am,196
1180,Paris,16
1181,"A
",10
1182,crown,2
1183,drink.,2
1184,"this?""
",3
1185,"""If",37
1186,"quick,",2
1187,"sir.""
",14
1188,opened,39
1189,coach-lamp,2
1190,"side,",9
1191,read-,1
1192,aloud:,1
1193,"""'Wait",1
1194,"Mam'selle.'
",1
1195,It's,6
1196,"long,",17
1197,"see,",7
1198,guard.,1
1199,my,525
1200,"was,",56
1201,"RECALLED
",1
1202,TO,2
1203,"LIFE.""
",1
1204,Jerry,38
1205,started,12
1206,saddle.,1
1207,"""That's",14
1208,Blazing,2
1209,"answer,",13
1210,"too,""
",1
1211,"he,",15
1212,"hoarsest.
",1
1213,"""Take",5
1214,message,6
1215,will,233
1216,received,20
1217,"this,",31
1218,well,69
1219,wrote.,1
1220,Make,1
1221,Good,18
1222,"night.""
",2
1223,words,42
1224,"not
",46
1225,"fellow-passengers,",1
1226,"expeditiously
",1
1227,secreted,2
1228,watches,2
1229,purses,1
1230,"boots,",3
1231,"now
",8
1232,pretence,3
1233,asleep.,4
1234,"definite
",1
1235,escape,5
1236,hazard,5
1237,originating,1
1238,kind,26
1239,"action.
",1
1240,heavier,6
1241,wreaths,2
1242,"closing
",2
1243,began,38
1244,descent.,1
1245,soon,36
1246,replaced,1
1247,"arm-chest,",1
1248,"its
",20
1249,"contents,",1
1250,supplementary,1
1251,pistols,1
1252,"he
",110
1253,"belt,",1
1254,smaller,1
1255,chest,3
1256,beneath,4
1257,"seat,",9
1258,"which
",29
1259,smith's,2
1260,"tools,",4
1261,couple,1
1262,"torches,",2
1263,"tinder-box.
",1
1264,For,23
1265,furnished,4
1266,completeness,1
1267,"coach-lamps
",1
1268,blown,1
1269,stormed,1
1270,occasionally,5
1271,"happen,",1
1272,"inside,",3
1273,keep,40
1274,flint,2
1275,steel,2
1276,"sparks
",1
1277,"straw,",6
1278,tolerable,2
1279,safety,2
1280,ease,7
1281,"(if
",1
1282,lucky),1
1283,five,18
1284,"minutes.
",1
1285,"""Tom!""",1
1286,softly,9
1287,"roof.
",1
1288,"""Hallo,",1
1289,"""Did",9
1290,hear,38
1291,"message?""
",1
1292,"did,",9
1293,"""Nothing",10
1294,"all,",28
1295,"coincidence,",1
1296,"too,""",6
1297,"mused,",2
1298,"""for",4
1299,"same
",7
1300,"myself.""
",1
1301,alone,20
1302,dismounted,1
1303,"meanwhile,
",1
1304,spent,2
1305,wipe,2
1306,mud,8
1307,"face,
",2
1308,shake,5
1309,wet,6
1310,"hat-brim,",1
1311,capable,7
1312,gallon.,1
1313,After,27
1314,standing,22
1315,bridle,3
1316,heavily-splashed,1
1317,"arm,",15
1318,until,91
1319,wheels,7
1320,"longer
",2
1321,hearing,8
1322,quite,51
1323,still,73
1324,turned,96
1325,"""After",3
1326,Temple,12
1327,"Bar,",9
1328,"lady,",13
1329,won't,9
1330,"trust
",1
1331,fore-legs,1
1332,till,15
1333,"level,""",1
1334,"hoarse
",1
1335,glancing,13
1336,mare.,1
1337,"""'Recalled",1
1338,life.',1
1339,That's,12
1340,"Blazing
",1
1341,message.,1
1342,Much,2
1343,wouldn't,9
1344,Jerry!,2
1345,"say,
",1
1346,You'd,2
1347,bad,34
1348,"way,",45
1349,recalling,4
1350,"come
",3
1351,"fashion,",3
1352,"Jerry!""
",1
1353,"III
",3
1354,NIGHT,1
1355,"SHADOWS
",1
1356,WONDERFUL,2
1357,FACT,1
1358,reflect,4
1359,"upon,",4
1360,"is
",37
1361,constituted,1
1362,profound,5
1363,secret,21
1364,mystery,7
1365,other.,5
1366,solemn,8
1367,"consideration,",4
1368,enter,5
1369,great,145
1370,city,17
1371,"every
",11
1372,darkly,5
1373,clustered,1
1374,houses,6
1375,encloses,2
1376,secret;,2
1377,room,33
1378,heart,39
1379,hundreds,7
1380,thousands,2
1381,breasts,3
1382,"there,",71
1383,"is,",34
1384,"imaginings,",1
1385,nearest,8
1386,it!,13
1387,Something,4
1388,"awfulness,",1
1389,Death,5
1390,"itself,",10
1391,referable,2
1392,No,23
1393,"can
",12
1394,turn,24
1395,leaves,7
1396,book,3
1397,"loved,",1
1398,vainly,1
1399,time,132
1400,all.,10
1401,can,86
1402,depths,5
1403,unfathomable,1
1404,"water,",13
1405,"wherein,",1
1406,momentary,3
1407,lights,7
1408,glanced,17
1409,"I
",98
1410,glimpses,1
1411,buried,10
1412,treasure,1
1413,submerged.,1
1414,"It
",11
1415,appointed,6
1416,"spring,",2
1417,"ever,",9
1418,page.,1
1419,water,14
1420,locked,5
1421,eternal,3
1422,"frost,",1
1423,"playing
",2
1424,"surface,",3
1425,ignorance,1
1426,shore.,2
1427,My,35
1428,friend,33
1429,neighbour,1
1430,"love,",5
1431,darling,6
1432,"soul,",6
1433,dead;,1
1434,inexorable,1
1435,consolidation,1
1436,perpetuation,1
1437,always,92
1438,"individuality,",1
1439,"shall
",5
1440,carry,10
1441,mine,3
1442,life's,1
1443,end.,4
1444,burial-places,1
1445,"pass,",4
1446,sleeper,3
1447,inscrutable,1
1448,inhabitants,3
1449,"are,",6
1450,innermost,1
1451,"personality,",1
1452,"or
",29
1453,"them?
",1
1454,natural,17
1455,alienated,1
1456,"inheritance,",1
1457,messenger,7
1458,horseback,1
1459,exactly,14
1460,same,62
1461,possessions,1
1462,"King,
",3
1463,Minister,1
1464,"State,",3
1465,richest,2
1466,merchant,2
1467,"So
",7
1468,narrow,7
1469,compass,2
1470,coach;,1
1471,mysteries,4
1472,complete,6
1473,"six,",2
1474,"sixty,",3
1475,breadth,5
1476,county,1
1477,"next.
",1
1478,easy,10
1479,"trot,",2
1480,stopping,6
1481,pretty,29
1482,alehouses,1
1483,"drink,",8
1484,evincing,1
1485,tendency,7
1486,"counsel,",3
1487,eyes.,8
1488,assorted,1
1489,"decoration,",3
1490,surface,6
1491,"black,
",1
1492,depth,2
1493,colour,7
1494,"form,",3
1495,too,47
1496,together-,2
1497,afraid,12
1498,found,51
1499,"something,",4
1500,"singly,",2
1501,"kept
",6
1502,apart.,2
1503,sinister,2
1504,"expression,",3
1505,"cocked-hat
",1
1506,three-cornered,2
1507,"spittoon,",1
1508,muffler,3
1509,chin,4
1510,"throat,",6
1511,descended,3
1512,nearly,9
1513,wearer's,1
1514,knees.,1
1515,When,59
1516,moved,32
1517,"hand,",58
1518,"only
",8
1519,poured,12
1520,liquor,1
1521,right;,3
1522,"done,",23
1523,"again.
",21
1524,"""No,",15
1525,"no!""",1
1526,harping,1
1527,theme,2
1528,rode.,1
1529,"""It",85
1530,Jerry.,6
1531,honest,16
1532,"tradesman,
",1
1533,suit,8
1534,line,11
1535,business!,1
1536,Recalled-!,1
1537,Bust,1
1538,think,86
1539,he'd,2
1540,"drinking!""
",1
1541,His,60
1542,perplexed,3
1543,"fain,
",1
1544,several,15
1545,take,74
1546,scratch,1
1547,head.,12
1548,Except,3
1549,"crown,",1
1550,raggedly,2
1551,"bald,",1
1552,"stiff,",1
1553,black,29
1554,"hair,",27
1555,"standing
",4
1556,jaggedly,1
1557,"broad,",1
1558,"blunt
",1
1559,nose.,2
1560,Smith's,1
1561,"work,",15
1562,spiked,1
1563,wall,20
1564,"players
",1
1565,leap-frog,1
1566,declined,2
1567,dangerous,9
1568,man,191
1569,world,25
1570,"over.
",7
1571,While,7
1572,trotted,1
1573,watchman,1
1574,box,4
1575,"Bank,",10
1576,"Temple
",5
1577,greater,11
1578,"within,",2
1579,shadows,17
1580,such,142
1581,shapes,2
1582,arose,17
1583,"message,",3
1584,mare,1
1585,"her
",73
1586,private,9
1587,topics,3
1588,uneasiness.,1
1589,seemed,55
1590,"numerous,",2
1591,"she
",21
1592,shied,1
1593,shadow,23
1594,"road.
",3
1595,What,56
1596,"time,",67
1597,mail-coach,1
1598,"lumbered,",1
1599,"jolted,",1
1600,"rattled,",1
1601,bumped,2
1602,"upon
",15
1603,tedious,1
1604,fellow-inscrutables,1
1605,inside.,1
1606,To,25
1607,"whom,
",1
1608,"likewise,",2
1609,revealed,5
1610,"themselves,",5
1611,"forms
",1
1612,dozing,3
1613,wandering,8
1614,thoughts,13
1615,"suggested.
",1
1616,run,10
1617,bank,9
1618,"passenger-
",1
1619,arm,31
1620,drawn,18
1621,leathern,3
1622,"strap,",2
1623,pounding,1
1624,against,66
1625,next,22
1626,"driving
",1
1627,"corner,",17
1628,whenever,4
1629,special,5
1630,jolt-,1
1631,nodded,7
1632,"place,",26
1633,half-shut,1
1634,"eyes,",30
1635,"coach-windows,",1
1636,dimly,2
1637,gleaming,2
1638,bulky,1
1639,bundle,5
1640,opposite,8
1641,became,30
1642,"bank,",4
1643,stroke,3
1644,rattle,5
1645,harness,5
1646,chink,1
1647,"money,",6
