course_name,instructor,course url,course image,course description,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,course_flag,students_count,,,,
The Data Science Course 2022: Complete Data Science Bootcamp,"365 Careers, 365 Careers Team",https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-b.udemycdn.com/course/240x135/1754098_e0df_3.jpg,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",Rating: 4.6 out of 5,114535 reviews,32 total hours,517 lectures,All Levels,Current price: E£319.99,"Original price: E£1,699.99",Bestseller,"539,202 students",,,,
Automate the Boring Stuff with Python Programming,Al Sweigart,https://www.udemy.com/course/automate/,https://img-b.udemycdn.com/course/240x135/543600_64d1_4.jpg,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",Rating: 4.7 out of 5,103366 reviews,9.5 total hours,51 lectures,All Levels,Current price: E£319.99,Original price: E£479.99,,"1,060,445 students",,,,
Complete C# Unity Game Developer 2D,"GameDev.tv Team, Rick Davidson, Gary Pettie",https://www.udemy.com/course/unitycourse/,https://img-b.udemycdn.com/course/240x135/258316_55e9_12.jpg,"Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",Rating: 4.7 out of 5,96126 reviews,18.5 total hours,140 lectures,All Levels,Current price: E£349.99,"Original price: E£1,599.99",,"433,485 students",,,,
Learn Python Programming Masterclass,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",https://www.udemy.com/course/python-the-complete-python-developer-course/,https://img-b.udemycdn.com/course/240x135/629302_8a2d_2.jpg,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,Rating: 4.6 out of 5,94413 reviews,72.5 total hours,534 lectures,All Levels,Current price: E£269.99,Original price: E£849.99,,"394,722 students",,,,
Selenium WebDriver with Java -Basics to Advanced+Frameworks,Rahul Shetty,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,https://img-b.udemycdn.com/course/240x135/354176_fe73_5.jpg,"""TOP RATED  #1 Master SELENIUM java 4.0 (Latest) course"" -5 Million students learning worldWide with great collaboration",Rating: 4.6 out of 5,89742 reviews,53.5 total hours,327 lectures,All Levels,Current price: E£319.99,"Original price: E£1,399.99",Bestseller,"280,503 students",,,,
Build Responsive Real-World Websites with HTML and CSS,Jonas Schmedtmann,https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,https://img-b.udemycdn.com/course/240x135/437398_46c3_10.jpg,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",Rating: 4.8 out of 5,85094 reviews,37.5 total hours,151 lectures,All Levels,Current price: E£349.99,"Original price: E£1,699.99",Bestseller,"341,962 students",,,,
iOS & Swift - The Complete iOS App Development Bootcamp,Dr. Angela Yu,https://www.udemy.com/course/ios-13-app-development-bootcamp/,https://img-b.udemycdn.com/course/240x135/1778502_f4b9_12.jpg,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,Rating: 4.8 out of 5,80067 reviews,60.5 total hours,542 lectures,All Levels,Current price: E£349.99,"Original price: E£1,699.99",Bestseller,"311,592 students",,,,
Modern React with Redux,Stephen Grider,https://www.udemy.com/course/react-redux/,https://img-b.udemycdn.com/course/240x135/705264_caa9_13.jpg,"Master React and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",Rating: 4.7 out of 5,77591 reviews,52.5 total hours,574 lectures,All Levels,Current price: E£319.99,"Original price: E£1,399.99",Bestseller,"275,832 students",,,,
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"Colt Steele, Ian Schoonover",https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,https://img-b.udemycdn.com/course/240x135/1187016_51b3.jpg,"JUST COMPLETELY REDONE!  Master SQL, Work With Complex Databases, Build Reports, and More!",Rating: 4.6 out of 5,74438 reviews,37.5 total hours,650 lectures,Beginner,Current price: E£319.99,"Original price: E£1,399.99",Bestseller,"344,881 students",,,,
The Complete Web Developer Course 2.0,"Rob Percival, Codestars • over 2 million students worldwide!",https://www.udemy.com/course/the-complete-web-developer-course-2/,https://img-b.udemycdn.com/course/240x135/764164_de03_2.jpg,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",Rating: 4.6 out of 5,70448 reviews,28.5 total hours,288 lectures,All Levels,Current price: E£269.99,"Original price: E£1,299.99",,"304,994 students",,,,
The Complete Node.js Developer Course (3rd Edition),"Andrew Mead, Rob Percival",https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,https://img-b.udemycdn.com/course/240x135/922484_52a1_8.jpg,"Learn Node.js by building real-world applications with Node JS, Express, MongoDB, Jest, and more!",Rating: 4.6 out of 5,67880 reviews,35 total hours,177 lectures,All Levels,Current price: E£269.99,Original price: E£629.99,,"283,695 students",,,,
Spring & Hibernate for Beginners (includes Spring Boot),Chad Darby,https://www.udemy.com/course/spring-hibernate-tutorial/,https://img-b.udemycdn.com/course/240x135/647428_be28_6.jpg,"Spring 5: Learn Spring 5 Core, AOP, Spring MVC, Spring Security, Spring REST, Spring Boot 2, Thymeleaf, JPA & Hibernate",Rating: 4.6 out of 5,66391 reviews,42.5 total hours,568 lectures,All Levels,Current price: E£349.99,"Original price: E£1,699.99",Bestseller,"282,683 students",,,,
Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,"Sam Pattuzzi, GameDev.tv Team, Stephen Ulibarri",https://www.udemy.com/course/unrealcourse/,https://img-b.udemycdn.com/course/240x135/657932_c7e0_6.jpg,Created in collaboration with Epic Games. Learn C++ from basics while making your first 5 video games in Unreal,Rating: 4.7 out of 5,61325 reviews,29.5 total hours,207 lectures,All Levels,Current price: E£269.99,"Original price: E£1,299.99",Bestseller,"319,855 students",,,,
The Python Mega Course: Learn Python in 40 Days with 18 Apps,Ardit Sulce,https://www.udemy.com/course/the-python-mega-course/,https://img-b.udemycdn.com/course/240x135/692188_9da7_30.jpg,"New in 2022! Take the full course to become a Python programmer, or pick any project to master specific areas of Python.",Rating: 4.6 out of 5,59372 reviews,36.5 total hours,335 lectures,All Levels,Current price: E£319.99,"Original price: E£1,399.99",,"279,373 students",,,,
C# Basics for Beginners: Learn C# Fundamentals by Coding,Mosh Hamedani,https://www.udemy.com/course/csharp-tutorial-for-beginners/,https://img-b.udemycdn.com/course/240x135/382002_5d4a.jpg,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",Rating: 4.5 out of 5,57641 reviews,5.5 total hours,87 lectures,Beginner,Current price: E£349.99,"Original price: E£1,399.99",,"191,563 students",,,,
The Complete Web Developer in 2023: Zero to Mastery,"Andrei Neagoie, Zero To Mastery",https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/,https://img-b.udemycdn.com/course/240x135/1430746_2f43_10.jpg,"Learn to code and become a Web Developer in 2023 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",Rating: 4.7 out of 5,57562 reviews,38.5 total hours,399 lectures,All Levels,Current price: E£319.99,"Original price: E£1,699.99",,"197,701 students",,,,
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"Bret Fisher, Docker Captain Program",https://www.udemy.com/course/docker-mastery/,https://img-b.udemycdn.com/course/240x135/1035000_c1aa_6.jpg,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, Swarm and Registry using DevOps",Rating: 4.7 out of 5,56703 reviews,20 total hours,180 lectures,All Levels,Current price: E£349.99,"Original price: E£1,699.99",Bestseller,"280,933 students",,,,
Vue - The Complete Guide (incl. Router & Composition API),Maximilian Schwarzmüller,https://www.udemy.com/course/vuejs-2-the-complete-guide/,https://img-b.udemycdn.com/course/240x135/995016_ebf4_3.jpg,Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,Rating: 4.7 out of 5,56394 reviews,32 total hours,329 lectures,All Levels,Current price: E£319.99,"Original price: E£1,599.99",Bestseller,"206,761 students",,,,
Flutter & Dart - The Complete Guide [2023 Edition],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/,https://img-b.udemycdn.com/course/240x135/1708340_7108_5.jpg,A Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android apps,Rating: 4.6 out of 5,54299 reviews,42.5 total hours,378 lectures,All Levels,Current price: E£319.99,"Original price: E£1,599.99",Bestseller,"216,495 students",,,,
Beginning C++ Programming - From Beginner to Beyond,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",https://www.udemy.com/course/beginning-c-plus-plus-programming/,https://img-b.udemycdn.com/course/240x135/1576854_9aeb_2.jpg,Obtain Modern C++ Object-Oriented Programming (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.,Rating: 4.6 out of 5,53453 reviews,46 total hours,305 lectures,All Levels,Current price: E£349.99,Original price: E£849.99,Bestseller,"223,168 students",,,,
Docker and Kubernetes: The Complete Guide,Stephen Grider,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,https://img-b.udemycdn.com/course/240x135/1793828_7999_2.jpg,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows",Rating: 4.7 out of 5,51210 reviews,22 total hours,321 lectures,All Levels,Current price: E£269.99,Original price: E£719.99,,"264,566 students",,,,
R Programming A-Z™: R For Data Science With Real Exercises!,"Kirill Eremenko, Ligency I Team, Ligency Team",https://www.udemy.com/course/r-programming/,https://img-b.udemycdn.com/course/240x135/765242_2578_6.jpg,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",Rating: 4.6 out of 5,48259 reviews,10.5 total hours,79 lectures,All Levels,Current price: E£269.99,"Original price: E£1,399.99",Bestseller,"242,563 students",,,,
JavaScript: Understanding the Weird Parts,Anthony Alicea,https://www.udemy.com/course/understand-javascript/,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E","An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",Rating: 4.8 out of 5,45752 reviews,12 total hours,89 lectures,All Levels,Current price: E£349.99,"Original price: E£1,299.99",,"180,386 students",,,,
The Complete 2021 Flutter Development Bootcamp with Dart,Dr. Angela Yu,https://www.udemy.com/course/flutter-bootcamp-with-dart/,https://img-b.udemycdn.com/course/240x135/2259120_305f_6.jpg,Officially created in collaboration with the Google Flutter team.,Rating: 4.6 out of 5,45652 reviews,29 total hours,217 lectures,All Levels,Current price: E£349.99,"Original price: E£1,599.99",,"156,400 students",,,,
Python and Django Full Stack Web Developer Bootcamp,Jose Portilla,https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/,https://img-b.udemycdn.com/course/240x135/822444_a6db.jpg,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",Rating: 4.5 out of 5,45321 reviews,32 total hours,198 lectures,All Levels,Current price: E£319.99,"Original price: E£1,699.99",Bestseller,"186,915 students",,,,
The Python Bible™ | Everything You Need to Program in Python,"Ziyad Yehia, Internet of Things Academy",https://www.udemy.com/course/the-python-bible/,https://img-b.udemycdn.com/course/240x135/903378_f32d_7.jpg,Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,Rating: 4.6 out of 5,43753 reviews,9 total hours,74 lectures,Beginner,Current price: E£319.99,"Original price: E£1,599.99",,"146,452 students",,,,
Complete Python Developer in 2023: Zero to Mastery,"Andrei Neagoie, Zero To Mastery",https://www.udemy.com/course/complete-python-developer-zero-to-mastery/,https://img-b.udemycdn.com/course/240x135/2473048_8255_5.jpg,"How to become a Python 3 Developer and get hired! Build 12+ projects, learn Web Development, Machine Learning + more!",Rating: 4.7 out of 5,41990 reviews,31 total hours,336 lectures,All Levels,Current price: E£319.99,"Original price: E£1,599.99",,"173,662 students",,,,
The Complete React Native + Hooks Course,Stephen Grider,https://www.udemy.com/course/the-complete-react-native-and-redux-course/,https://img-b.udemycdn.com/course/240x135/959700_8bd2_11.jpg,"Understand React Native with Hooks, Context, and React Navigation.",Rating: 4.5 out of 5,41965 reviews,38.5 total hours,434 lectures,All Levels,Current price: E£319.99,Original price: E£679.99,,"175,131 students",,,,
Deep Learning A-Z™: Hands-On Artificial Neural Networks,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team",https://www.udemy.com/course/deeplearning/,https://img-b.udemycdn.com/course/240x135/1151632_de9b.jpg,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,Rating: 4.5 out of 5,41377 reviews,22.5 total hours,169 lectures,All Levels,Current price: E£319.99,"Original price: E£1,699.99",Bestseller,"342,743 students",,,,
Master Microservices with Spring Boot and Spring Cloud,in28Minutes Official,https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,https://img-b.udemycdn.com/course/240x135/1352468_3d97_8.jpg,"Java Spring Boot Microservices 5-in-1 - Spring Boot, Spring Cloud, Docker, Kubernetes and REST API (REST Web Services)",Rating: 4.5 out of 5,40315 reviews,22 total hours,260 lectures,All Levels,Current price: E£319.99,"Original price: E£1,599.99",Bestseller,"194,027 students",,,,
SQL for Beginners: Learn SQL using MySQL and Database Design,"Tim Buchalka's Learn Programming Academy, Jon Avis - SQL Instructor",https://www.udemy.com/course/sql-for-beginners-course/,https://img-b.udemycdn.com/course/240x135/1419182_b2cf.jpg,Understand SQL using the MySQL database. Learn Database Design and Data Analysis with Normalization and Relationships,Rating: 4.5 out of 5,39214 reviews,8 total hours,122 lectures,Beginner,Current price: E£269.99,Original price: E£719.99,,"126,771 students",,,,
The Complete Oracle SQL Certification Course,Imtiaz Ahmad,https://www.udemy.com/course/the-complete-oracle-sql-certification-course/,https://img-b.udemycdn.com/course/240x135/866196_be1d.jpg,"Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",Rating: 4.6 out of 5,38496 reviews,16.5 total hours,71 lectures,All Levels,Current price: E£269.99,"Original price: E£1,299.99",Bestseller,"146,829 students",,,,
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",Jonas Schmedtmann,https://www.udemy.com/course/advanced-css-and-sass/,https://img-b.udemycdn.com/course/240x135/1026604_790b_2.jpg,"The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",Rating: 4.8 out of 5,38349 reviews,28 total hours,126 lectures,Intermediate,Current price: E£269.99,"Original price: E£1,399.99",Bestseller,"178,600 students",,,,
"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",https://www.udemy.com/course/nodejs-the-complete-guide/,https://img-b.udemycdn.com/course/240x135/1879018_95b6_3.jpg,"Master Node JS & Deno.js, build REST APIs with Node.js, GraphQL APIs, add Authentication, use MongoDB, SQL & much more!",Rating: 4.7 out of 5,36673 reviews,40.5 total hours,543 lectures,All Levels,Current price: E£269.99,"Original price: E£1,399.99",Bestseller,"187,789 students",,,,
Understanding TypeScript - 2023 Edition,Maximilian Schwarzmüller,https://www.udemy.com/course/understanding-typescript/,https://img-b.udemycdn.com/course/240x135/947098_02ec_2.jpg,"Boost your JavaScript projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!",Rating: 4.7 out of 5,36452 reviews,15 total hours,198 lectures,All Levels,Current price: E£319.99,"Original price: E£1,399.99",Bestseller,"175,152 students",,,,
Complete C# Unity Game Developer 3D,"Ben Tristem, Rick Davidson, GameDev.tv Team, Gary Pettie",https://www.udemy.com/course/unitycourse2/,https://img-b.udemycdn.com/course/240x135/1178124_76bb_11.jpg,"Design & Develop Video Games. Learn C# in Unity Engine. Code Your first 3D Unity games for web, Mac & PC.",Rating: 4.7 out of 5,36449 reviews,30.5 total hours,204 lectures,All Levels,Current price: E£319.99,"Original price: E£1,599.99",Bestseller,"191,638 students",,,,
Apache Kafka Series - Learn Apache Kafka for Beginners v3,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Conduktor Kafkademy",https://www.udemy.com/course/apache-kafka/,https://img-b.udemycdn.com/course/240x135/1075642_b6d2_9.jpg,"START HERE: Learn Apache Kafka 3.0 Ecosystem, Core Concepts, Real World Java Producers/Consumers & Big Data Architecture",Rating: 4.7 out of 5,34780 reviews,8.5 total hours,120 lectures,All Levels,Current price: E£319.99,Original price: E£849.99,Bestseller,"167,768 students",,,,
Statistics for Data Science and Business Analysis,"365 Careers, 365 Careers Team",https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,https://img-b.udemycdn.com/course/240x135/1298780_731f_4.jpg,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",Rating: 4.6 out of 5,34392 reviews,5 total hours,92 lectures,All Levels,Current price: E£269.99,Original price: E£849.99,Bestseller,"157,184 students",,,,
HTML and CSS for Beginners - Build a Website & Launch ONLINE,"Edwin Diaz, Coding Faculty Solutions",https://www.udemy.com/course/html-and-css-for-beginners-crash-course-learn-fast-easy/,https://img-b.udemycdn.com/course/240x135/405926_02c8_2.jpg,HTML and CSS for Beginners  course will give your all the knowledge you need to master HTML and CSS easily and quickly.,Rating: 4.5 out of 5,34062 reviews,6 total hours,49 lectures,All Levels,Current price: E£229.99,Original price: E£719.99,,"360,186 students",,,,
Mastering Data Structures & Algorithms using C and C++,Abdul Bari,https://www.udemy.com/course/datastructurescncpp/,https://img-b.udemycdn.com/course/240x135/2121018_9de5_5.jpg,"Learn, Analyse and Implement Data Structure using C and C++. Learn Recursion and Sorting.",Rating: 4.6 out of 5,32952 reviews,58.5 total hours,390 lectures,All Levels,Current price: E£319.99,"Original price: E£1,299.99",Bestseller,"129,076 students",,,,
Data Science A-Z™: Real-Life Data Science Exercises Included,"Kirill Eremenko, Ligency I Team, Ligency Team",https://www.udemy.com/course/datascience/,https://img-b.udemycdn.com/course/240x135/513244_b831_4.jpg,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",Rating: 4.6 out of 5,32405 reviews,21 total hours,217 lectures,All Levels,Current price: E£269.99,"Original price: E£1,299.99",,"207,161 students",,,,
Python for Beginners: Learn Python Programming (Python 3),Jason Cannon,https://www.udemy.com/course/python-programming-projects/,https://img-b.udemycdn.com/course/240x135/666914_6c60_3.jpg,"Learn Python Programming the Easy Way, Complete with Examples, Quizzes, Exercises and more. Learn Python 2 and Python 3.",Rating: 4.5 out of 5,32186 reviews,3 total hours,78 lectures,All Levels,Current price: E£269.99,"Original price: E£1,299.99",,"109,748 students",,,,
The Complete ASP.NET MVC 5 Course,Mosh Hamedani,https://www.udemy.com/course/the-complete-aspnet-mvc-5-course/,https://img-b.udemycdn.com/course/240x135/806922_6310_3.jpg,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",Rating: 4.4 out of 5,31808 reviews,7.5 total hours,139 lectures,All Levels,Current price: E£319.99,"Original price: E£1,399.99",Bestseller,"124,946 students",,,,
iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp,Dr. Angela Yu,https://www.udemy.com/course/ios11-app-development-bootcamp/,https://img-b.udemycdn.com/course/240x135/1289478_5831_10.jpg,Learn iOS 11 App Development From Beginning to End. Using Xcode 9 and Swift 4. Includes Full ARKit and CoreML Modules!,Rating: 4.3 out of 5,31615 reviews,49.5 total hours,475 lectures,All Levels,Current price: E£269.99,"Original price: E£1,299.99",,"117,942 students",,,,
"C# Intermediate: Classes, Interfaces and OOP",Mosh Hamedani,https://www.udemy.com/course/csharp-intermediate-classes-interfaces-and-oop/,https://img-b.udemycdn.com/course/240x135/383576_fd27_3.jpg,"An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",Rating: 4.5 out of 5,30521 reviews,6 total hours,45 lectures,Intermediate,Current price: E£269.99,Original price: E£849.99,Bestseller,"134,221 students",,,,
Modern JavaScript From The Beginning,Brad Traversy,https://www.udemy.com/course/modern-javascript-from-the-beginning/,https://img-b.udemycdn.com/course/240x135/1463348_52a4_2.jpg,Learn and build projects with pure JavaScript (No frameworks or libraries),Rating: 4.7 out of 5,30158 reviews,21.5 total hours,122 lectures,All Levels,Current price: E£269.99,"Original price: E£1,299.99",,"100,165 students",,,,
Go: The Complete Developer's Guide (Golang),Stephen Grider,https://www.udemy.com/course/go-the-complete-developers-guide/,https://img-b.udemycdn.com/course/240x135/1309202_1231_4.jpg,Master the fundamentals and advanced features of the Go Programming Language (Golang),Rating: 4.6 out of 5,29774 reviews,9 total hours,83 lectures,All Levels,Current price: E£269.99,Original price: E£629.99,Bestseller,"121,257 students",,,,
Java Programming for Complete Beginners,in28Minutes Official,https://www.udemy.com/course/java-programming-tutorial-for-beginners/,https://img-b.udemycdn.com/course/240x135/1535678_0ce9_7.jpg,Java Programming for Beginners to Java Object Oriented Programming. Core Java + REST API with Spring Boot. Java 8 to 16.,Rating: 4.5 out of 5,29533 reviews,31 total hours,374 lectures,Beginner,Current price: E£319.99,"Original price: E£1,699.99",,"179,111 students",,,,
React Native - The Practical Guide [2023],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",https://www.udemy.com/course/react-native-the-practical-guide/,https://img-b.udemycdn.com/course/240x135/1436092_2024_4.jpg,"Use React Native and your React knowledge to build native iOS and Android Apps - incl. Push Notifications, Hooks, Redux",Rating: 4.7 out of 5,29428 reviews,28.5 total hours,289 lectures,All Levels,Current price: E£319.99,"Original price: E£1,199.99",Bestseller,"166,078 students",,,,
Master the Coding Interview: Data Structures + Algorithms,"Andrei Neagoie, Zero To Mastery",https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/,https://img-b.udemycdn.com/course/240x135/1917546_682b_3.jpg,"Ultimate coding interview bootcamp. Get more job offers, negotiate a raise: Everything you need to get the job you want!",Rating: 4.7 out of 5,28512 reviews,19.5 total hours,262 lectures,All Levels,Current price: E£269.99,"Original price: E£1,299.99",Bestseller,"183,789 students",,,,
The Complete Android N Developer Course,"Rob Percival, Marc Stock, Codestars • over 2 million students worldwide!",https://www.udemy.com/course/complete-android-n-developer-course/,https://img-b.udemycdn.com/course/240x135/951618_0839_2.jpg,"Learn Android App Development with Android 7 Nougat by building real apps including Uber, Whatsapp and Instagram!",Rating: 4.2 out of 5,28430 reviews,32.5 total hours,272 lectures,All Levels,Current price: E£269.99,"Original price: E£1,299.99",,"155,724 students",,,,
"Machine Learning, Data Science and Deep Learning with Python","Sundog Education by Frank Kane, Frank Kane, Sundog Education Team",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,https://img-b.udemycdn.com/course/240x135/671576_a272_4.jpg,"Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks",Rating: 4.5 out of 5,28034 reviews,15.5 total hours,116 lectures,Beginner,Current price: E£229.99,Original price: E£269.99,,"169,037 students",,,,
