artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location
Bannon,John,,Unknown,1978,mural,21230,Sharp-Leadenhall School,Sharp and Leadenhall Sts.,PS 314,Interior,,,,,"Sharp and Leadenhall Sts.
21230
(39.266940000000034, -76.62630000000001)"
Perlman,Bernard S.,,Unknown,1976,mural,21206,Gardenville ES,5300 Belair Rd.,PS 211,Interior,,,,,"5300 Belair Rd.
21206
(39.33773304854651, -76.55223113855988)"
Brown,Joe,,Runner,1964,bronze,21218,"Athletic Center, Johns Hopkins University",3400 N. Charles St.,,Exterior entrance,,,,,"3400 N. Charles St.
21218
(39.32913762457502, -76.61797969757966)"
Russum,Olin,,The Nest,1970,ceramic bas relief,21217,Samuel Coleridge Taylor ES,507 W. Preston St.,PS 122,Exterior,,,,,"507 W. Preston St.
21217
(39.31194000000011, -76.64039000000002)"
MICA and HEBCAC,,,,2002,mural,21205,Parking lot of North East Market,600 Block of N. Duncan St,,Side of builiding,Life in North East; two scenes: a jazz club and grocery/ soda fountain street scene,Visible,,,"600 Block of N. Duncan St
21205
(39.302410000000066, -76.56324999999987)"
Leizman,William,,Unknown,,chrome,21215,George W.F. McMechen Jr./Sr. High School,4411 Garrison Blvd.,PS 177,Health suite off lobby,,,,,"4411 Garrison Blvd.
21215
(39.33727439431152, -76.68473724635697)"
Carfagno Ferguson,Mary,,,1999,mural,21230,343 Scott St.,343 Scott St.,,Side of building of Scott and Ramsey,Building with garden,Visible,,,"343 Scott St.
21230
(39.2838996318726, -76.62888035511713)"
Maynard,Valarie,,Unknown,1977,quarry tile floor,21215,Lower Park Heights Multi-purpose Center,3939 Reisterstown Rd.,,Interior,,,,,"3939 Reisterstown Rd.
21215
(39.33336234348411, -76.66365713799019)"
unknown,,,Medal of Honor,,,21201,,Preston and Howard at Park Ave.,,,,,,,"Preston and Howard at Park Ave.
21201
(39.294880000000035, -76.62253999999996)"
Hilson,Harry,,Unknown,1969,mural,21214,Woodholme ES,7300 Moyer Ave.,PS 205,Interior,,,,,"7300 Moyer Ave.
21214
(39.35158999999999, -76.56538999999992)"
Ferguson,John D.,,Sidney Lake,1983,cor ten,21208,Park Place,7200 block of Park Heights Ave.,,,,,,,"7200 block of Park Heights Ave.
21208
(39.384119999999996, -76.72733)"
unknown,,,Mother's Garden,1928,,21213,Clifton Park,Harford Rd. and Erdman Ave.,,,,,,Y,"Harford Rd. and Erdman Ave.
21213
(39.316199999999924, -76.57662999999991)"
Berge,Edward,,Watson Monument,1903,bronze,21217,Mount Royal Terrace at North Ave.,Mount Royal Terrace at North Ave.,,Northwest corner of Mt. Royal and North Ave,,,,Y,"Mount Royal Terrace at North Ave.
21217
(39.31194000000011, -76.64039000000002)"
Bufano,Benjamin,,Horse,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University
21218
(39.32947000000013, -76.60331999999988)"
Epstein,Jacob,,The Visitation,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive
21218
(39.325933943522045, -76.61823238229022)"
Ferguson,John,,Number 10,1978,,21210,Cross Keys Shopping Center,Cross Keys,,,,,,Y,"Cross Keys
21210
(39.34921289425051, -76.63108369408891)"
Schuler,Hans,,Fifth Regiment Armory Tablet,1923,bronze,21217,Fifth Regiment Armory,29th Division St. and Dolphin St.,,,,,,Y,"29th Division St. and Dolphin St.
21217
(39.31194000000011, -76.64039000000002)"
Schneider,Jo Ann,,Noah's Ark,,,21210,Cross Keys Shopping Center,Cross Keys,,,,,,,"Cross Keys
21210
(39.34921289425051, -76.63108369408891)"
Farber,Saul,,Unknown,1980,stained glass,21231,Broadway Market,Broadway Market,,Window,,,,,"Broadway Market
21231
(39.28823000000011, -76.59190000000001)"
Emberson,Laura,,,2006,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street
21202
(39.29146211325886, -76.61031346272442)"
Paulsen,James R.,,Untitled,1975,bronze,21231,General Wolfe ES,245 S. Wolfe St.,PS  23,Entrance plaza,,,,,"245 S. Wolfe St.
21231
(39.2886657946574, -76.5901938544247)"
Schuler,Hans,,Star Spangled Banner,1914,bronze,21233,City Hall,100 Holliday St,,,,,,Y,"100 Holliday St
21233
(39.2912, -76.60457999999994)"
Leverette,Carlton,,Untitled,1975,ceramic tiles,21213,Laurence Paquin HS,2200 Sinclair Lane,PS 457,Over entrance door,,,,,"2200 Sinclair Lane
21213
(39.3143057096832, -76.58758348753167)"
Vosough,Mohsen,,Colors in Harmony,1974,painted steel,21217,William H. Pinderhughes ES,1200 N. Freemont Ave.,PS  28,Lobby wall,,,,,"1200 N. Freemont Ave.
21217
(39.30253732325122, -76.63642794927624)"
"Kinoshita, principal designer","Sasaki Associates, Masao",,J. Jefferson Miller Fountain,1976,,21202,Charles Center,100 N Charles St,,,,,,Y,"100 N Charles St
21202
(39.297300000000064, -76.60749999999996)"
Carfagno Ferguson,Mary,,,2000,mural,21231,1644 E. Pratt St.,1644 E. Pratt St.,,Side of building,Building with garden,Very visible,,,"1644 E. Pratt St.
21231
(39.28920563184545, -76.59420249766731)"
Hilson,Harry,,Unknown,1969,"fiberglass, stainless ste",21214,Woodholme ES,7300 Moyer Ave.,PS 205,Courtyard center,,,,,"7300 Moyer Ave.
21214
(39.35158999999999, -76.56538999999992)"
James and Mural Masters,Shawn,,,2004,mural,21230,W. Hamburg and Bayard Sts.,W. Hamburg and Bayard Sts.,,Side of building,"Gwynns Falls Trail; bicycle riders, roller blader, and walker",Visible,,,"W. Hamburg and Bayard Sts.
21230
(39.266940000000034, -76.62630000000001)"
Lawrance,Charles,,,1994,mural,21202,1617 N. Calvert St.,1617 N. Calvert St.,,Side of building with park,Underwater life,Very visible,,,"1617 N. Calvert St.
21202
(39.308172333443395, -76.61359188061903)"
unknown,,,The Young Seated Mercury,,,21218,Baltimore Museum of Art,10 Art Museum Dr.,,West garden,,,,,"10 Art Museum Dr.
21218
(39.325933943522045, -76.61823238229022)"
Leizman,William,,Unknown,1968,weathering steel,21229,Rognel Heights ES,4300 Sidehill Rd.,PS  89,Over entrance facade facing Wicklow/ Rec Center,,,,,"4300 Sidehill Rd.
21229
(39.2977312046832, -76.69203074801459)"
Rattigan,Jenn,,,2007,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street
21202
(39.29146211325886, -76.61031346272442)"
Bufano,Benjamin,,Bear and Cubs,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University
21218
(39.32947000000013, -76.60331999999988)"
Russum,Olin,,Unknown,1967,ceramic tile,21231,City Springs ES,100 S. Caroline St.,PS  08,Interior,,,,,"100 S. Caroline St.
21231
(39.289709252181865, -76.5970533485002)"
Berge,Edward,,Little Wild Flower,before 1924,bronze,21210,Keswick House,700 W. 41st St.,,,,,,,"700 W. 41st St.
21210
(39.358510000000024, -76.63551999999993)"
"Keyser, designer",William,,Cannonball and Rack,,,21201,211 E. Redwood Street,211 E. Redwood St.,,,,,,,"211 E. Redwood St.
21201
(39.294880000000035, -76.62253999999996)"
Jones [Theo Alice Ruggles Kitson- SOS],George F.,,Spanish War Veterans Memorial [The Rifleman/Hiker],1943,bronze,21224,Pulaski Highway,Fayette and Lakewood Sts.,,Median,,,,,"Fayette and Lakewood Sts.
21224
(39.2834400000001, -76.54115999999999)"
Wells,Betty,,Unknown,,ceramic tiles,21215,Towanda Recreation Center,4100 Towanda Ave.,,Gym wall,,,,,"4100 Towanda Ave.
21215
(39.33504078211094, -76.66643772776918)"
McCullough,Donna,,,1989,mural,21202,141 S. Central Ave.,141 S. Central Ave.,,,,,,,"141 S. Central Ave.
21202
(39.28932254370926, -76.59946353153873)"
Turnbull,Grace Hill,https://data.baltimorecity.gov/views/5xsg-uc29/files/7f6oaydZvzb1awOkWcI59VGDPDhLDcJHCzHOTZRqZGA?filename=518_Turnbull+G_1933.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary,The Naiad,1933,bronze,21202,Mount Vernon Pl. East Garden,East Garden Mount Vernon Pl.,,East garden,woman's figure in a crazy yoga pose,highly visible,Outdoor Accessible,,"East Garden Mount Vernon Pl.
21202
(39.297300000000064, -76.60749999999996)"
Berge,Henry,https://data.baltimorecity.gov/views/5xsg-uc29/files/9o4fbN5yT23Qh8jaZM9Jga1l_JAYne-tOSqSRn_NdYE?filename=354_Berge+E_1926.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary,Sea Urchin (enlargement of original by Edward Berg,1959,bronze,21202,South of Monument,Mt. Vernon,,South of Monument,fountain w/ girl standing on an urchin,highly visible,outdoor accessible,,"Mt. Vernon
21202
(39.297300000000064, -76.60749999999996)"
Ferguson,John D.,,Veronica,1985,cor ten,21215,6700 block of Park Heights Ave.,6700 block of Park Heights Ave.,,Between Labyrinth Rd. and Clarinth Rd.,,,,,"6700 block of Park Heights Ave.
21215
(39.34556999999995, -76.68362000000002)"
Gibbs,Nathaniel,,African-American Leaders Portraits,1984/02,oil/canvas,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,Second floor near media center,,,,,"2301 Gwynns Falls Pkwy.
21217
(39.31568167238805, -76.65537438210032)"
Glassman,Stephen,,Unknown,1976,restoration of paintings ,21202,Renovation of Baltimore City Hall,100 N. Holliday St.,,,,,,,"100 N. Holliday St.
21202
(39.290590587770566, -76.61021942300914)"
Ellsberry,John,,,1987,mural,21211,600 W. 28th St.,600 W. 28th St.,,,,,,,"600 W. 28th St.
21211
(39.33100999999999, -76.63518999999991)"
Leizman,William,,Unknown,1973,mural,21216,Rosemont Recreation Center,1201 N. Rosedale St.,,Interior,,,,,"1201 N. Rosedale St.
21216
(39.302740428386414, -76.66892716508187)"
Warren,Erik,,,1996,mural,21218,401E. Lorraine St.,401 Lorraine St.,,Side of building facing Barclay St.,Five different figures inside globe,Visible,,,"401 Lorraine St.
21218
(39.32947000000013, -76.60331999999988)"
unknown,,,Veterans of Foreign Wars Monument,1945,,21224,Ponca St. and Eastern Ave.,Ponca St. and Eastern Ave.,,,,,,Y,"Ponca St. and Eastern Ave.
21224
(39.28712819795777, -76.55497407074927)"
Mezensky,Andrew,,# 31,1976,painted steel,21217,Harriet Tubman ES,1807 Harlem Ave.,PS 138,Near entrance,,,,,"1807 Harlem Ave.
21217
(39.29640920130015, -76.64665995163642)"
Hosler,Danamarie,,,2007,mural,21202,"JFX Farmers Market, parking",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street
21202
(39.29146211325886, -76.61031346272442)"
Blackwell,Camillia,,,1987,mural,21217,Druid Hill Park,2222 Druid Hill Dr.,,,,,,,"2222 Druid Hill Dr.
21217
(39.30943185475045, -76.63787156223106)"
Moring,Greg,,Unknown,,steel,21202,Streetscape,Lombard and Gay Sts.,,East of intersection,,,,,"Lombard and Gay Sts.
21202
(39.297300000000064, -76.60749999999996)"
Marchewka,A,,,2007,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street
21202
(39.29146211325886, -76.61031346272442)"
Brown,Joe,,Discus Thrower,1964,bronze,21218,"Athletic Center, Johns Hopkins University",3400 N. Charles St.,,Front of Newton center,,,,,"3400 N. Charles St.
21218
(39.32913762457502, -76.61797969757966)"
Hege,Orpha,,Unknown,1978,fabric wall hanging,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Interior,,,,,"33rd St. and The Alameda
21218
(39.32849701130556, -76.59533564342422)"
Mullen,Gary,,,2006,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street
21202
(39.29146211325886, -76.61031346272442)"
Lipschitz,Jacques,,Mother and Child II,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive
21218
(39.325933943522045, -76.61823238229022)"
Kasuba,Aleksandra,,Unknown,1969,tiles,21213,Lake Clifton HS,2801 St. Lo Dr.,PS 40,Interior,,,,,"2801 St. Lo Dr.
21213
(39.31751628932784, -76.58839287735805)"
van Rossum,Peter,,Untitled,1967,aluminum,21223,Diggs-Johnson MS -was- Carroll Park JHl,1300 Herkimer St.,,Entrance,,,,,"1300 Herkimer St.
21223
(39.2814534759529, -76.63819733134068)"
Duffy (W. Kirwin Architect),William Francis,,Bird in Tree,1989,forged steel,21207,Carrie Murray Outdoor Learning Center,4921 Windsor Mill Rd.,,Beside driveway,,,,,"4921 Windsor Mill Rd.
21207
(39.30959326224968, -76.70113188695109)"
unknown,,,Battery Cannons,1812,,21230,Riverside Park,Riverside Park,,,,,,Y,"Riverside Park
21230
(39.266940000000034, -76.62630000000001)"
Berge,Edward,,Colonel George Armistead Monument,1914,bronze,21230,Fort McHenry,Fort McHenry,,,,,,Y,"Fort McHenry
21230
(39.266940000000034, -76.62630000000001)"
Ono,Setsuko,https://data.baltimorecity.gov/views/5xsg-uc29/files/H9_XBJQM-pVS7Kvpggff-JWGpSeS04-7bz2e1RJUPo0?filename=714_Ono+S_2005.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary,Dreams,2005,Painted Steel,21201,"Hopkins Plaza, just outside Mercantile Building",Baltimore & Charles Sts.,,Inside Plaza,Purple and Gold painted Steel,Very Visible,outdoor accessible,,"Baltimore &amp; Charles Sts.
21201
(39.294880000000035, -76.62253999999996)"
unknown,,,Grove of Rememberance,1919,,21217,Druid Hill Park,Druid Hill Park,,,,,,Y,"Druid Hill Park
21217
(39.316007473609055, -76.64384898808959)"
"Hamel, Inc.",J.S.,,Jacob France Memorial Fountain,,,21201,Hopkins Plaza,Hopkins Plaza,,,,,,,"Hopkins Plaza
21201
(39.294880000000035, -76.62253999999996)"
Mullen,Gary,,,2007,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street
21202
(39.29146211325886, -76.61031346272442)"
Kissack,Lyle,,,2001,mural,21217,1904 McCulloh St.,1904 McCulloh St.,,Side of building,People in community,Visible,,,"1904 McCulloh St.
21217
(39.30744388259967, -76.63382662627828)"
Martray,Aleks,,,2006,mural,21223,1425 Mulberry Street,1425 Mulberry Street,,on side of building,family overlooking a model of city streets,Visible from one side of building,,,"1425 Mulberry Street
21223
(39.29310232572219, -76.64015259533683)"
"W.J. Dale and Son, designers",,,Saint-Lo Drive Memorial,1947,,21213,St Lo Dr. and Sinclair Ln.,St Lo Dr. and Sinclair Ln.,,,,,,Y,"St Lo Dr. and Sinclair Ln.
21213
(39.31426973680203, -76.59055125022837)"
McCarty,John D.,,Unknown,1988,steel,21230,Francis Scott Key E/MS,1425 E. Fort Ave.,,Interior; entrance wall,,,,,"1425 E. Fort Ave.
21230
(39.26921370313414, -76.59438236207319)"
Moring,Greg,,Westside,,aluminum,21229,Edmondson-Westside Sr. HS,4501 Edmondson Ave.,,Western entrance,,,,,"4501 Edmondson Ave.
21229
(39.29334251318022, -76.69151813445791)"
Henry,Gregory,,Unknown,1989,sculptured display cases,21210,Roland Park E/MS,5207 Roland Ave.,PS 233,Interior; front lobby,,,,,"5207 Roland Ave.
21210
(39.35696055353293, -76.63479789406995)"
Leizman,William,,Unknown,,weathering steel,21215,George W.F. McMechen Jr./Sr. High School,4411 Garrison Blvd.,PS 177,Exterior; front lawn,,,,,"4411 Garrison Blvd.
21215
(39.33727439431152, -76.68473724635697)"
Hilson,Harry,,Unknown,,concrete,21218,Department of Housing and Community Development/Ho,201 Aisquith St.,,Left of entrance,,,,,"201 Aisquith St.
21218
(39.32947000000013, -76.60331999999988)"
Bartholdi,Frederic A.,,Statue of Liberty (copy),,,21218,Mergenthaler Vocational and Technical HS,3500 Hillen Rd.,,,,,,,"3500 Hillen Rd.
21218
(39.33167161806898, -76.58903139599886)"
Flood,James,,Unknown,1984/01,collage,21211,Robert Poole MS,1300 W. 36th St.,PS  56,Interior,,,,,"1300 W. 36th St.
21211
(39.33035860790625, -76.63751384659844)"
Woodward,William,,Unknown,1967,metal wall sculpture,21217,Eutaw Place ES,1624 Eutaw Pl.,PS 11,Exterior,,,,,"1624 Eutaw Pl.
21217
(39.306769391077694, -76.62980665680732)"
"Murchison, architect",Kenneth W.,,Unknown (Clock Relief),c.1911,stone (or terracotta),21202,Penn Station,1515 N. Charles St.,,,,,,,"1515 N. Charles St.
21202
(39.297300000000064, -76.60749999999996)"
Lawrance,Charles,,,2008,mural,21213,Latrine Building at Herring Run at Hall Spring,3545 Bel Air Road,,one long wall left side  and front side of building,"nature scene deers, birds, creek",Very Visible,,,"3545 Bel Air Road
21213
(39.324228065368914, -76.5700688634434)"
