ticket_id,ticket_created,date_of_issue,time_of_issue,form,method,issue,caller_id_number,type_of_call_or_messge,advertiser_business_number,state,zip,location_center_point_of_the_zip_code
1000361,05/25/2016 01:49:10 PM +0000,5/25/16,8:20 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,213-905-6397,SC,29526,"SC 29526
(33.865268, -78.995297)"
1000370,05/25/2016 01:55:37 PM +0000,5/24/16,8:30 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),204-654-2858,Live Voice,,WV,25541,"WV 25541
(38.446529, -82.135181)"
1000374,05/25/2016 02:04:17 PM +0000,5/23/16,3:01 PM,Phone,Wired,Telemarketing (including do not call and spoofing),941-467-3194,Live Voice,,FL,33952,"FL 33952
(26.992249, -82.096316)"
1000380,05/25/2016 02:09:16 PM +0000,3/15/16,11:00 AM,Phone,Wired,Telemarketing (including do not call and spoofing),803-486-2467,Live Voice,,SC,29651,"SC 29651
(34.939937, -82.224999)"
1000386,05/25/2016 02:12:14 PM +0000,5/13/16,3:25 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),708-292-6194,Prerecorded Voice,,GA,30534,"GA 30534
(34.419636, -84.115749)"
1000388,05/25/2016 02:17:46 PM +0000,5/20/16,8:13 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,530-229-1905,MA,2155,"MA 02155
(42.419364, -71.107977)"
1000393,05/25/2016 02:20:37 PM +0000,5/25/16,7:40 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),832-792-7260,Prerecorded Voice,,TX,77450,"TX 77450
(29.751651, -95.745862)"
1000398,05/25/2016 02:21:55 PM +0000,5/23/16,7:15 AM,Phone,Wired,Telemarketing (including do not call and spoofing),857-240-6699,Live Voice,857-240-6699,PA,19083,"PA 19083
(39.977505, -75.31077)"
1000407,05/25/2016 02:26:28 PM +0000,5/23/16,11:15 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),779-203-9988,Prerecorded Voice,,TX,77450,"TX 77450
(29.751651, -95.745862)"
1000416,05/25/2016 02:29:15 PM +0000,5/24/16,4:00 PM,Phone,Wired,Robocalls,,Prerecorded Voice,360-208-0828,NY,12041,"NY 12041
(42.563306, -73.972441)"
1000422,05/25/2016 02:31:50 PM +0000,5/25/16,9:25 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),757-296-9814,Prerecorded Voice,,NC,28806,"NC 28806
(35.574518, -82.61288)"
1000425,05/25/2016 02:32:40 PM +0000,5/25/16,7:51 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Text Message,,MD,20878,"MD 20878
(39.114215, -77.239673)"
1000426,05/25/2016 02:34:58 PM +0000,5/25/16,8:58 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,,Prerecorded Voice,,VA,23456,"VA 23456
(36.749223, -76.054108)"
1000428,05/25/2016 02:37:12 PM +0000,5/24/16,8:10 PM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),530-921-4207,Live Voice,,NY,13066,"NY 13066-2015
(43.027465, -76.003999)"
1000429,05/25/2016 02:37:23 PM +0000,5/25/16,09:28 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),617-861-9130,Prerecorded Voice,,MA,1741,"MA 01741
(42.529559, -71.352704)"
1000432,05/25/2016 02:42:37 PM +0000,3/15/16,,Phone,Wired,Robocalls,610-197-5780,Abandoned Calls,,PA,18103,"PA 18103
(40.575032, -75.480833)"
1000433,05/25/2016 02:43:05 PM +0000,5/25/16,9:30 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),404-491-7274,Prerecorded Voice,,GA,30534,"GA 30534-0704
(34.419636, -84.115749)"
1000435,05/25/2016 02:43:17 PM +0000,5/25/16,9:40 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,307-308-6953,Prerecorded Voice,,VA,22204,"VA 22204
(38.860985, -77.098705)"
1000441,05/25/2016 02:46:41 PM +0000,5/25/16,9:41 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),360-843-2006,Prerecorded Voice,,TN,37303,"TN 37303
(35.440498, -84.628206)"
1000449,05/25/2016 02:51:06 PM +0000,4/20/16,12:00 AM,Phone,Wired,Robocalls,508-485-9960,Prerecorded Voice,,SD,57501,"SD 57501
(44.482272, -100.273396)"
1000452,05/25/2016 02:53:50 PM +0000,5/23/16,6:00 PM,Phone,Wired,Telemarketing (including do not call and spoofing),305-823-2345,Live Voice,,FL,33029,"FL 33029
(25.998658, -80.400741)"
1000454,05/25/2016 02:55:36 PM +0000,5/24/16,4:23 PM,Phone,Wired,Telemarketing (including do not call and spoofing),570-595-2777,Prerecorded Voice,,PA,18325,"PA 18325
(41.218439, -75.243536)"
1000460,05/25/2016 03:00:07 PM +0000,5/25/16,9:49 A.M.,Phone,Wired,Robocalls,206-823-3345,Prerecorded Voice,206-823-3082,PA,17745,"PA 17745
(41.200712, -77.442936)"
1000462,05/25/2016 03:03:53 PM +0000,5/25/16,9:21 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,718-687-3174,Autodialed Live Voice Call,,OH,45231,"OH 45231
(39.244026, -84.540994)"
1000463,05/25/2016 03:06:18 PM +0000,5/25/16,9:56 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,502-242-0892,Prerecorded Voice,,KY,41011,"KY 41011
(39.071016, -84.526465)"
1000466,05/25/2016 03:12:15 PM +0000,5/25/16,10:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Abandoned Calls,,FL,33462,"FL 33462
(26.57989, -80.076308)"
1000472,05/25/2016 03:15:55 PM +0000,5/25/16,10:10 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),814-313-0292,Live Voice,,PA,15557,"PA 15557
(39.937376, -79.217259)"
1000478,05/25/2016 03:17:56 PM +0000,5/25/16,10:05 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),201-857-9080,Live Voice,,NC,27265,"NC 27265
(36.012316, -80.017507)"
1000481,05/25/2016 03:18:33 PM +0000,5/25/16,9:08 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Prerecorded Voice,763-307-5755,TX,77441,"TX 77441
(29.689711, -95.913035)"
1000487,05/25/2016 03:20:46 PM +0000,5/25/16,9:27 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),484-297-9311,Live Voice,,PA,17931,"PA 17931
(40.78014, -76.228367)"
1000495,05/25/2016 03:26:15 PM +0000,5/25/16,10:15 AM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),215-590-0119,Prerecorded Voice,,PA,19064,"PA 19064
(39.931914, -75.338256)"
1000496,05/25/2016 03:27:40 PM +0000,5/24/16,,Phone,Wired,Telemarketing (including do not call and spoofing),,Live Voice,,AR,72501,"AR 72501
(35.788058, -91.646613)"
1000500,05/25/2016 03:29:44 PM +0000,5/25/16,9:25 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),515-414-8816,Prerecorded Voice,,MO,63048,"MO 63048
(38.257997, -90.393505)"
1000507,05/25/2016 03:31:48 PM +0000,5/25/16,10:20 AM,Phone,Wired,Robocalls,,Prerecorded Voice,214-702-5736,NY,10306,"NY 10306
(40.568821, -74.11862)"
1000508,05/25/2016 03:31:53 PM +0000,5/25/16,9:17 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,401-262-1428,Prerecorded Voice,401-262-1428,TX,75041,"TX 75041
(32.881091, -96.646449)"
1000511,05/25/2016 03:32:02 PM +0000,5/24/16,11:52 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Abandoned Calls,817-357-4956,TX,76053,"TX 76053
(32.81938, -97.181293)"
1000513,05/25/2016 03:32:13 PM +0000,5/25/16,9:38 A.M.,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),561-665-7794,Live Voice,,FL,32110,"FL 32110
(29.417394, -81.321154)"
1000514,05/25/2016 03:32:16 PM +0000,5/25/16,10:20 AM,Phone,Wired,Robocalls,,Prerecorded Voice,214-702-5736,NY,10306,"NY 10306
(40.568821, -74.11862)"
1000519,05/25/2016 03:32:43 PM +0000,5/25/16,10:20 AM,Phone,Wired,Robocalls,,Prerecorded Voice,214-702-5736,NY,10306,"NY 10306
(40.568821, -74.11862)"
1000521,05/25/2016 03:32:55 PM +0000,5/25/16,10:24 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,347-518-1701,Prerecorded Voice,,NY,10512,"NY 10512
(41.444541, -73.696731)"
1000522,05/25/2016 03:32:58 PM +0000,5/25/16,10:23 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,610-743-4769,Prerecorded Voice,,PA,15601,"PA 15601
(40.306229, -79.536803)"
1000526,05/25/2016 03:33:20 PM +0000,5/25/16,9:26 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,720-499-0868,Prerecorded Voice,,FL,33578,"FL 33578
(27.868589, -82.339195)"
1000530,05/25/2016 03:33:50 PM +0000,5/25/16,10:30 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Abandoned Calls,,GA,30305,"GA 30305
(33.833696, -84.387435)"
1000532,05/25/2016 03:34:42 PM +0000,5/25/16,9:13 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),312-291-4832,Live Voice,,MI,48509,"MI 48509
(43.024184, -83.604224)"
1000533,05/25/2016 03:34:51 PM +0000,5/25/16,10:09 AM,Phone,Wired,Robocalls,206-823-3346,Prerecorded Voice,206-823-3346,NC,28411,"NC 28411
(34.288582, -77.801133)"
1000537,05/25/2016 03:38:47 PM +0000,5/25/16,7:30 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),212-465-9832,Live Voice,,CA,92124,"CA 92124
(32.823872, -117.098573)"
1000547,05/25/2016 03:42:47 PM +0000,5/25/16,7:05 A.M.,Phone,Wired,Telemarketing (including do not call and spoofing),520-332-1567,Live Voice,,AZ,85713,"AZ 85713
(32.193543, -110.978456)"
1000554,05/25/2016 03:43:51 PM +0000,5/18/16,11:55 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,,,MA,2189,"MA 02189
(42.211214, -70.932237)"
1000555,05/25/2016 03:44:01 PM +0000,5/17/16,1:50 PM,Phone,,Telemarketing (including do not call and spoofing),779-203-9988,,,SC,29360,"SC 29360
(34.501192, -82.033317)"
1000557,05/25/2016 03:44:25 PM +0000,5/25/16,10:19 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,212-465-9832,Prerecorded Voice,,NJ,8021,"NJ 08021
(39.807596, -75.000891)"
1000576,05/25/2016 03:47:50 PM +0000,5/25/16,9:36 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),610-743-3242,Live Voice,,IL,60046,"IL 60046
(42.41234, -88.057183)"
1000579,05/25/2016 03:48:27 PM +0000,5/25/16,,Phone,Wireless (cell phone/other mobile device),Robocalls,305-916-3490,Abandoned Calls,,FL,33431,"FL 33431
(26.380735, -80.10188)"
1000581,05/25/2016 03:49:36 PM +0000,5/25/16,9:25 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),201-285-8120,Prerecorded Voice,201-285-8120,NE,68847,"NE 68847
(40.73172, -99.034443)"
1000583,05/25/2016 03:50:09 PM +0000,5/25/16,10:22 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),201-857-9080,Live Voice,,GA,30223,"GA 30223
(33.28038, -84.272055)"
1000586,05/25/2016 03:51:51 PM +0000,5/25/16,10:40 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,317-435-1937,Prerecorded Voice,,IN,46250,"IN 46250
(39.905127, -86.067225)"
1000588,05/25/2016 03:52:56 PM +0000,5/25/16,10:32 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),213-761-7935,Live Voice,,IN,47129,"IN 47129
(38.310933, -85.766413)"
1000591,05/25/2016 03:53:21 PM +0000,5/25/16,,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),301-219-9872,Abandoned Calls,,MD,21797,"MD 21797
(39.340195, -77.064002)"
1000593,05/25/2016 03:54:09 PM +0000,5/25/16,10:15 AM,Phone,Wired,Telemarketing (including do not call and spoofing),530-389-5543,Live Voice,530-389-5543,PA,19083,"PA 19083
(39.977505, -75.31077)"
1000594,05/25/2016 03:55:06 PM +0000,5/25/16,10:30 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,,Prerecorded Voice,,PA,17055,"PA 17055
(40.183843, -76.993353)"
1000602,05/25/2016 03:57:35 PM +0000,5/24/16,1:35 PM,Phone,Wired,Telemarketing (including do not call and spoofing),620-784-5952,Live Voice,,KS,67330,"KS 67330
(37.169117, -95.313259)"
1000603,05/25/2016 03:57:56 PM +0000,5/25/16,9:34 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Prerecorded Voice,,GA,30909,"GA 30909
(33.476388, -82.074988)"
1000610,05/25/2016 04:00:47 PM +0000,5/25/16,11:00 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,954-688-4664,Autodialed Live Voice Call,,VA,22310,"VA 22310
(38.784528, -77.124306)"
1000616,05/25/2016 04:01:33 PM +0000,5/25/16,10:54 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),901-300-7443,Prerecorded Voice,,SC,29316,"SC 29316
(35.036878, -81.977056)"
1000625,05/25/2016 04:03:30 PM +0000,5/24/16,8:00 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,305-203-5347,Prerecorded Voice,305-203-5347,OK,74114,"OK 74114
(36.126637, -95.94467)"
1000628,05/25/2016 04:03:56 PM +0000,5/25/16,7:56 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),404-220-7215,Live Voice,,CA,94115,"CA 94115
(37.78557, -122.437361)"
1000632,05/25/2016 04:04:18 PM +0000,5/25/16,10:45 AM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),858-277-7503,Abandoned Calls,,MI,48640,"MI 48640
(43.600207, -84.307417)"
1000647,05/25/2016 04:07:33 PM +0000,5/25/16,10:32 AM,Phone,Wired,Robocalls,407-602-8902,Abandoned Calls,,FL,34741,"FL 34741
(28.310473, -81.424424)"
1000649,05/25/2016 04:08:27 PM +0000,5/25/16,2:56 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),774-204-6255,Text Message,774-204-6255,AL,36064,"AL 36064
(32.315839, -86.082089)"
1000650,05/25/2016 04:08:44 PM +0000,5/25/16,9:00 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,512-717-5666,Prerecorded Voice,,KY,40047,"KY 40047
(38.043331, -85.55897)"
1000664,05/25/2016 04:14:44 PM +0000,5/25/16,8:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Prerecorded Voice,,CA,92620,"CA 92620
(33.708843, -117.758618)"
1000667,05/25/2016 04:15:48 PM +0000,5/25/16,9:11 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,610-743-3242,CO,80126,"CO 80126
(39.543528, -104.96093)"
1000669,05/25/2016 04:16:31 PM +0000,5/25/16,11:06 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),385-249-1350,Abandoned Calls,,MI,49230,"MI 49230
(42.092908, -84.227118)"
1000671,05/25/2016 04:17:26 PM +0000,5/25/16,10:50 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),703-662-8905,Text Message,,DC,20019,"DC 20019
(38.891575, -76.939259)"
1000676,05/25/2016 04:20:11 PM +0000,5/25/16,11:14 AM,Phone,Wired,Telemarketing (including do not call and spoofing),917-364-0839,Live Voice,,CT,6880,"CT 06880
(41.143865, -73.348008)"
1000680,05/25/2016 04:20:57 PM +0000,5/25/16,9:00 AM,Phone,Wired,Robocalls,,Prerecorded Voice,817-898-4792,TX,79902,"TX 79902-2822
(31.781817, -106.484409)"
1000684,05/25/2016 04:21:50 PM +0000,5/25/16,10:57 A.M.,Phone,Wired,Telemarketing (including do not call and spoofing),801-228-0210,Abandoned Calls,,FL,33990,"FL 33990
(26.629947, -81.948851)"
1000686,05/25/2016 04:22:31 PM +0000,5/25/16,,Phone,Wireless (cell phone/other mobile device),Robocalls,952-317-1848,Abandoned Calls,,MN,55337,"MN 55337
(44.770335, -93.274093)"
1000691,05/25/2016 04:23:48 PM +0000,5/25/16,10:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),512-219-9194,Live Voice,,TX,78748,"TX 78748
(30.166107, -97.825259)"
1000694,05/25/2016 04:27:08 PM +0000,5/24/16,7:30 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,877-778-2578,Prerecorded Voice,,MD,21220,"MD 21220
(39.342075, -76.409498)"
1000695,05/25/2016 04:27:10 PM +0000,5/25/16,9:36 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,347-518-1701,Prerecorded Voice,347-518-1701,MO,64058,"MO 64058
(39.159556, -94.337896)"
1000696,05/25/2016 04:27:41 PM +0000,5/25/16,10:15 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,,Prerecorded Voice,,TX,75025,"TX 75025
(33.090007, -96.742466)"
1000697,05/25/2016 04:27:43 PM +0000,5/25/16,9:29 a.m.,Phone,Wired,Robocalls,646-589-0698,Prerecorded Voice,,MD,20874,"MD 20874
(39.158483, -77.280856)"
1000711,05/25/2016 04:30:53 PM +0000,5/25/16,11:17 AM,Phone,Internet (VOIP),Robocalls,301-274-6016,Prerecorded Voice,,GA,30224,"GA 30224
(33.210313, -84.249721)"
1000712,05/25/2016 04:31:04 PM +0000,5/25/16,11:18 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),953-232-4956,Live Voice,,VA,22821,"VA 22821
(38.454799, -79.040756)"
1000713,05/25/2016 04:31:05 PM +0000,5/25/16,9:58 AM,Phone,Wired,Robocalls,303-250-5238,Prerecorded Voice,,WI,53154,"WI 53154
(42.882424, -87.904874)"
1000719,05/25/2016 04:31:49 PM +0000,5/24/16,12:47 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),262-206-9238,Live Voice,,MD,21093,"MD 21093
(39.443584, -76.629467)"
1000721,05/25/2016 04:32:17 PM +0000,5/16/16,9:30 AM,Phone,Wired,Telemarketing (including do not call and spoofing),312-509-9187,Live Voice,,IL,60654,"IL 60654
(41.892485, -87.636354)"
1000723,05/25/2016 04:32:56 PM +0000,5/25/16,9:30 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,801-877-5468,Prerecorded Voice,225-570-4696,UT,84721,"UT 84721
(37.747925, -113.0862)"
1000726,05/25/2016 04:34:26 PM +0000,5/25/16,11:30 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,610-743-4769,Prerecorded Voice,,MA,1370,"MA 01370
(42.600428, -72.73048)"
1000730,05/25/2016 04:35:30 PM +0000,5/25/16,10:49 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),319-984-4006,Prerecorded Voice,,GA,30319,"GA 30319
(33.877599, -84.335721)"
1000739,05/25/2016 04:36:44 PM +0000,5/25/16,11:30 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,209-362-3854,Prerecorded Voice,209-362-3854,MI,48017,"MI 48017
(42.536131, -83.150359)"
1000741,05/25/2016 04:37:34 PM +0000,5/25/16,9:37 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,313-327-3063,Prerecorded Voice,,GA,30319,"GA 30319
(33.877599, -84.335721)"
1000743,05/25/2016 04:38:33 PM +0000,5/25/16,10:32 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),240-394-6009,Live Voice,,MD,20874,"MD 20874
(39.158483, -77.280856)"
1000748,05/25/2016 04:40:01 PM +0000,5/25/16,8:30 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),876-309-6620,Live Voice,,AZ,86426,"AZ 86426
(35.009572, -114.581531)"
1000754,05/25/2016 04:42:59 PM +0000,5/25/16,11:35 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),215-405-2385,Prerecorded Voice,,PA,19064,"PA 19064
(39.931914, -75.338256)"
1000755,05/25/2016 04:43:08 PM +0000,5/25/16,11:30 AM,Phone,Wired,Robocalls,321-221-8279,Prerecorded Voice,,NH,3062,"NH 03062
(42.724275, -71.492434)"
1000758,05/25/2016 04:43:40 PM +0000,5/25/16,9:00 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,,Prerecorded Voice,206-708-2849,NM,87008,"NM 87008
(35.130867, -106.3651)"
1000760,05/25/2016 04:46:30 PM +0000,5/24/16,9:22 a.m.,Phone,Wired,Robocalls,312-291-4832,Abandoned Calls,,CT,6065,"CT 06065
(41.970038, -73.007118)"
1000766,05/25/2016 04:49:04 PM +0000,5/25/16,10:42 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),276-555-9581,Abandoned Calls,,VA,24165,"VA 24165
(36.593982, -80.046276)"
1000767,05/25/2016 04:49:17 PM +0000,5/25/16,10:32 A.M.,Phone,Wired,Telemarketing (including do not call and spoofing),262-292-6078,Live Voice,,WI,53095,"WI 53095
(43.396224, -88.1777)"
1000776,05/25/2016 04:52:33 PM +0000,5/25/16,9:57 a.m.,Phone,Wired,Robocalls,312-291-4832,Abandoned Calls,,CT,6065,"CT 06065
(41.970038, -73.007118)"
1000777,05/25/2016 04:53:26 PM +0000,5/5/16,10:40 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Prerecorded Voice,312-878-0276,TX,75025,"TX 75025
(33.090007, -96.742466)"
1000780,05/25/2016 04:56:01 PM +0000,5/25/16,9:56 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,509-233-4023,Prerecorded Voice,,IL,60068,"IL 60068
(42.012574, -87.842835)"
1000782,05/25/2016 04:57:24 PM +0000,5/25/16,11:05 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),254-522-7532,Prerecorded Voice,,NC,27292,"NC 27292
(35.755267, -80.221283)"
1000785,05/25/2016 04:59:23 PM +0000,5/25/16,11:31 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),718-713-6547,Prerecorded Voice,718-713-6547,NJ,8722,"NJ 08722
(39.929992, -74.198133)"
1000787,05/25/2016 05:00:03 PM +0000,5/25/16,11:44 A.M.,Phone,Wireless (cell phone/other mobile device),Robocalls,844-952-0909,Prerecorded Voice,855-904-7781,VA,22202,"VA 22202
(38.857857, -77.055713)"
1000788,05/25/2016 05:02:09 PM +0000,5/25/16,10:27 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),610-743-3242,Prerecorded Voice,,TX,76065,"TX 76065
(32.473895, -96.983299)"
1000790,05/25/2016 05:02:59 PM +0000,5/25/16,,Phone,Wired,Telemarketing (including do not call and spoofing),760-262-0093,Abandoned Calls,,TX,76085,"TX 76085
(32.848214, -97.699187)"
1000794,05/25/2016 05:03:39 PM +0000,5/24/16,10:56 AM,Phone,Wired,Telemarketing (including do not call and spoofing),718-887-9034,Live Voice,,PA,17053,"PA 17053-9522
(40.321086, -77.130004)"
1000801,05/25/2016 05:04:25 PM +0000,5/25/16,10:48 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),919-335-6205,Live Voice,,TX,75201,"TX 75201
(32.786781, -96.79859)"
1000805,05/25/2016 05:04:50 PM +0000,5/24/16,11:31 AM,Phone,Wired,Robocalls,786-405-0898,Prerecorded Voice,786-405-0898,KY,41049,"KY 41049
(38.285278, -83.666301)"
1000807,05/25/2016 05:05:02 PM +0000,5/25/16,10:40 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),610-743-3242,Live Voice,,TX,76040,"TX 76040
(32.823637, -97.102981)"
1000808,05/25/2016 05:05:05 PM +0000,5/25/16,11:14 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),813-701-3641,Prerecorded Voice,,FL,33558,"FL 33558
(28.15362, -82.51729)"
1000812,05/25/2016 05:05:44 PM +0000,5/25/16,10:58 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),315-215-4553,Live Voice,,TX,75684,"TX 75684
(32.26883, -94.943639)"
1000816,05/25/2016 05:05:58 PM +0000,5/25/16,10:35 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),872-240-8540,Prerecorded Voice,,IL,60187,"IL 60187
(41.872013, -88.109951)"
